,city_name,cloudiness,country,data,humidity,lat,lon,max_temp,wind_speed
378,Nelson Bay,0,AU,1598662973,51,-32.72,152.15,66.0,8.05
379,Kalmunai,54,LK,1598663067,78,7.42,81.82,78.98,3.4
380,Mananjary,16,MG,1598663109,92,-21.22,48.33,66.06,2.53
381,Nieuw Nickerie,100,SR,1598663109,84,5.95,-56.98,80.55,9.57
382,Padang,100,ID,1598662990,72,-0.95,100.35,80.62,1.97
383,Tulagi,75,SB,1598663110,70,-9.1,160.15,86.0,5.82
384,Yuli,100,NG,1598663110,91,9.7,10.27,72.01,5.01
385,Shubarkuduk,100,KZ,1598663110,28,49.14,56.49,72.16,6.87
386,Tashtyp,100,RU,1598663111,88,52.79,89.9,54.37,3.02
387,Brigantine,20,US,1598663111,94,39.41,-74.36,73.99,4.7
388,Deputatsky,69,RU,1598663111,67,69.3,139.9,43.59,4.41
389,Kilindoni,98,TZ,1598663112,79,-7.91,39.67,76.23,12.26
390,Presque Isle,1,US,1598663064,51,46.68,-68.02,60.8,6.93
391,Camopi,99,GF,1598663112,95,3.17,-52.32,74.12,3.2
392,Tabas,0,IR,1598662926,17,33.6,56.92,75.2,4.7
393,Lompoc,1,US,1598662876,72,34.64,-120.46,66.0,14.99
394,Zeya,32,RU,1598663113,45,53.75,127.27,63.66,4.83
395,Pāvilosta,100,LV,1598663113,93,56.89,21.19,53.6,6.93
396,Dossor,100,KZ,1598663113,21,47.53,52.98,75.15,10.98
397,Hasaki,40,JP,1598663051,70,35.73,140.83,91.4,8.05
398,Kangaatsiaq,100,GL,1598663114,74,68.31,-53.46,45.18,10.16
399,Grandview,1,US,1598663056,46,38.89,-94.53,89.6,5.82
400,Kaitangata,75,NZ,1598663031,58,-46.28,169.85,52.83,17.27
401,Ustka,100,PL,1598663115,74,54.58,16.86,59.56,10.13
402,Westport,89,US,1598662927,84,41.14,-73.36,75.99,5.53
403,Colares,0,PT,1598663062,81,38.8,-9.45,64.99,24.83
404,Guaíba,90,BR,1598662854,100,-30.11,-51.33,64.4,5.82
405,Manzhouli,100,CN,1598663116,80,49.6,117.43,54.68,12.33
406,Novobiryusinskiy,96,RU,1598663116,78,56.96,97.71,58.86,1.61
407,Porbandar,99,IN,1598663070,87,21.64,69.61,81.09,9.24
408,Ballina,40,AU,1598663116,55,-28.87,153.57,68.0,10.29
