,city_name,cloudiness,country,data,humidity,lat,lon,max_temp,wind_speed
85,Ilongero,0,TZ,1598816311,46,-4.67,34.87,65.52,14.74
86,Upernavik,77,GL,1598816312,80,72.79,-56.15,41.88,9.48
87,Bambous Virieux,75,MU,1598816314,83,-20.34,57.76,71.6,18.34
88,Inírida,100,CO,1598816315,94,3.87,-67.92,74.25,2.1
89,Saint-Philippe,37,RE,1598816316,72,-21.36,55.77,68.0,4.7
90,Thompson,90,CA,1598816076,100,55.74,-97.86,57.2,6.93
91,Diu,100,IN,1598816318,88,20.71,70.98,77.99,13.71
92,Port Lincoln,100,AU,1598816319,61,-34.73,135.87,51.91,5.91
93,Aljezur,0,PT,1598816319,69,37.32,-8.8,64.99,13.47
94,San Patricio,90,MX,1598816320,100,19.22,-104.7,78.8,11.41
95,Meulaboh,100,ID,1598816323,88,4.14,96.13,76.95,4.45
96,Mar del Plata,0,AR,1598816324,28,-38.0,-57.56,59.0,20.8
97,Baker City,1,US,1598816327,22,44.77,-117.83,69.8,21.92
98,Soure,100,BR,1598816327,75,-0.72,-48.52,84.16,9.8
99,Hermanus,0,ZA,1598816032,90,-34.42,19.23,41.0,12.1
100,Athabasca,80,CA,1598816328,49,54.72,-113.29,54.82,20.8
101,Ugoofaaru,53,MV,1598816329,72,5.67,73.0,82.9,7.34
102,Leshukonskoye,100,RU,1598816329,96,64.9,45.76,49.71,5.73
103,Coyhaique,40,CL,1598816330,79,-45.58,-72.07,50.0,4.7
104,Punta Arenas,75,CL,1598816331,51,-53.15,-70.92,35.6,14.99
105,Bubaque,100,GW,1598816331,82,11.28,-15.83,80.51,18.48
106,Fort Nelson,20,CA,1598816331,54,58.81,-122.7,57.2,5.82
107,Ouadda,100,CF,1598816332,94,8.08,22.4,68.38,1.5
108,Mildura,0,AU,1598816332,93,-34.2,142.15,41.0,6.93
109,Itanhaém,3,BR,1598816332,83,-24.18,-46.79,86.0,8.05
110,Tūkrah,0,LY,1598816332,70,32.53,20.58,77.0,12.37
111,Mgandu,0,TZ,1598816334,48,-5.95,34.13,65.35,10.04
112,Ribeira Grande,75,PT,1598816334,94,38.52,-28.7,77.0,11.41
113,Esperance,0,AU,1598816334,93,-33.87,121.9,42.8,10.29
114,Lázaro Cárdenas,97,MX,1598816335,76,17.96,-102.2,83.71,7.34
115,Shenjiamen,16,CN,1598816335,89,29.96,122.3,80.35,8.52
116,Bredasdorp,18,ZA,1598816047,86,-34.53,20.04,41.0,5.82
117,Narsaq,100,GL,1598816335,50,60.92,-46.05,57.2,2.24
118,Nadym,49,RU,1598816336,73,65.53,72.52,45.25,11.03
